mouse_strain;experiment_ID;sample_type;timepoint;mouse_ID;treatment;frequency_live_bacteria_%;experimental_day;counts_live_bacteria_per_wet_g;mouse_age_days;mouse_sex
NOD;AG6-222;fecal;treatment_start;ABX096;placebo;60.1;-7;5.61E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX097;ABX;84.02;-7;1.74E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX098;placebo;26.3;-7;1.86E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX099;ABX;93.51;-7;1.65E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX100;placebo;21.88;-7;1.74E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX101;ABX;74.83;-7;2.20E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX102;placebo;21.21;-7;1.33E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX103;ABX;10.67;-7;7.10E+07;14;male
NOD;AG6-222;fecal;treatment_start;ABX104;placebo;68.85;-7;9.28E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX105;ABX;13.34;-7;1.24E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX106;placebo;59.51;-7;5.70E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX107;ABX;25.82;-7;7.68E+07;14;male
NOD;AG6-222;fecal;treatment_start;ABX108;placebo;83.1;-7;1.93E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX109;ABX;63.81;-7;3.10E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX110;placebo;87.1;-7;3.59E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX111;ABX;7.42;-7;2.71E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX112;placebo;95.66;-7;1.63E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX113;ABX;89.46;-7;2.90E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX114;placebo;95.83;-7;4.84E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX115;ABX;40.67;-7;1.77E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX116;placebo;69.47;-7;1.04E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX117;ABX;1.7;-7;2.33E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX118;placebo;22.75;-7;2.21E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX119;ABX;23.62;-7;4.86E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX120;placebo;89.45;-7;7.23E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX121;ABX;16.75;-7;1.11E+07;14;male
NOD;AG6-222;fecal;treatment_start;ABX122;placebo;92.64;-7;1.99E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX123;ABX;52.57;-7;6.66E+07;14;male
NOD;AG6-222;fecal;treatment_start;ABX124;placebo;80.94;-7;9.31E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX125;ABX;12.88;-7;7.75E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX126;placebo;7.61;-7;6.96E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX127;ABX;72.33;-7;5.62E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX128;placebo;67.51;-7;1.14E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX129;ABX;79.1;-7;4.80E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX130;placebo;35.36;-7;8.09E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX131;ABX;6.38;-7;4.20E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX132;placebo;66.23;-7;3.60E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX133;ABX;22.36;-7;1.24E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX134;placebo;82.8;-7;1.28E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX135;ABX;45.47;-7;5.18E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX136;placebo;1.94;-7;7.32E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX137;ABX;45.2;-7;8.11E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX138;placebo;2.61;-7;1.15E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX139;ABX;59.96;-7;1.27E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX140;placebo;22.14;-7;1.92E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX141;ABX;91.11;-7;9.81E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX142;placebo;81.92;-7;1.29E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX143;ABX;35.26;-7;1.82E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX144;placebo;93.32;-7;1.69E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX145;ABX;70.57;-7;1.49E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX146;placebo;91.79;-7;1.46E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX147;ABX;12.34;-7;5.45E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX148;placebo;6.83;-7;3.38E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX149;ABX;61.33;-7;4.43E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX150;placebo;66.39;-7;9.64E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX151;ABX;80.17;-7;2.67E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX152;placebo;29.83;-7;1.77E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX153;ABX;75.52;-7;1.36E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX154;placebo;68.15;-7;4.99E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX155;ABX;46.95;-7;5.91E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX156;placebo;86.62;-7;1.99E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX157;ABX;15.8;-7;2.99E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX158;placebo;50.63;-7;3.09E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX159;ABX;90.46;-7;5.90E+07;14;male
NOD;AG6-222;fecal;treatment_start;ABX160;placebo;68.46;-7;1.72E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX161;ABX;92.62;-7;1.58E+07;14;male
NOD;AG6-222;fecal;treatment_start;ABX162;placebo;86.79;-7;1.70E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX163;ABX;51.92;-7;2.74E+07;14;male
NOD;AG6-222;fecal;treatment_start;ABX164;placebo;28.2;-7;4.43E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX165;ABX;88.93;-7;3.39E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX166;placebo;6.42;-7;3.69E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX167;ABX;88.33;-7;1.52E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX168;placebo;62.07;-7;3.94E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX169;ABX;59.81;-7;1.07E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX170;placebo;40.2;-7;2.01E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX171;ABX;45.44;-7;7.67E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX172;placebo;0.68;-7;7.19E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX173;ABX;76.37;-7;9.52E+07;14;male
NOD;AG6-222;fecal;treatment_start;ABX174;placebo;81.18;-7;7.84E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX175;ABX;57.09;-7;1.01E+07;14;male
NOD;AG6-222;fecal;treatment_start;ABX176;placebo;95.9;-7;2.01E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX177;ABX;81.42;-7;1.33E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX178;placebo;80.2;-7;3.81E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX179;ABX;95.59;-7;1.59E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX180;placebo;12.08;-7;9.77E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX181;ABX;2.57;-7;2.00E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX182;placebo;25.07;-7;4.22E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX183;ABX;70.24;-7;1.69E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX184;placebo;71.29;-7;1.81E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX185;ABX;37.76;-7;4.83E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX186;placebo;26.34;-7;2.54E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX187;ABX;73.05;-7;3.70E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX188;placebo;95.7;-7;4.03E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX189;ABX;45.27;-7;4.46E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX190;placebo;25.83;-7;2.45E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX191;ABX;47.27;-7;2.13E+07;14;male
NOD;AG6-222;fecal;treatment_start;ABX192;placebo;46.66;-7;1.22E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX193;ABX;83.09;-7;3.44E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX194;placebo;42.02;-7;7.50E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX195;ABX;65.02;-7;2.97E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX196;placebo;88.01;-7;1.09E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX197;ABX;52.08;-7;1.94E+07;14;male
NOD;AG6-222;fecal;treatment_start;ABX198;placebo;31.5;-7;1.96E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX199;ABX;2.84;-7;1.53E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX200;placebo;22.46;-7;2.24E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX201;ABX;79.7;-7;1.55E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX202;placebo;54.45;-7;1.81E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX203;ABX;52.92;-7;7.10E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX204;placebo;86.78;-7;3.68E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX205;ABX;70.66;-7;1.60E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX206;placebo;72.73;-7;2.22E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX207;ABX;34.51;-7;1.98E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX208;placebo;99.45;-7;3.09E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX209;ABX;60.72;-7;3.07E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX210;placebo;62.87;-7;3.33E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX211;ABX;59.51;-7;3.37E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX212;placebo;13.4;-7;4.50E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX213;ABX;16.77;-7;5.72E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX214;placebo;39.97;-7;6.47E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX215;ABX;73.6;-7;2.75E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX216;placebo;26.24;-7;8.12E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX217;ABX;71.25;-7;2.60E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX218;placebo;14.99;-7;3.31E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX219;ABX;12.98;-7;2.53E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX220;placebo;39.83;-7;8.66E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX221;ABX;25.54;-7;5.24E+07;14;male
NOD;AG6-222;fecal;treatment_start;ABX222;placebo;8.36;-7;4.73E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX223;ABX;73.14;-7;3.68E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX224;placebo;87.85;-7;5.05E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX225;ABX;98.71;-7;6.04E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX226;placebo;77.61;-7;4.74E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX227;ABX;15.97;-7;9.00E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX228;placebo;87.72;-7;1.47E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX229;ABX;28.23;-7;1.26E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX230;placebo;41.99;-7;5.49E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX231;ABX;89.98;-7;3.54E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX232;placebo;32.1;-7;2.99E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX233;ABX;45.63;-7;1.30E+07;14;male
NOD;AG6-222;fecal;treatment_start;ABX234;placebo;56.46;-7;1.25E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX235;ABX;49.69;-7;1.79E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX236;placebo;4.68;-7;6.67E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX237;ABX;22.2;-7;1.63E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX238;placebo;18.53;-7;7.10E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX239;ABX;17.62;-7;3.11E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX240;placebo;7.61;-7;6.66E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX241;ABX;90.46;-7;4.76E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX242;placebo;88.99;-7;6.14E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX243;ABX;65.54;-7;4.30E+07;14;male
NOD;AG6-222;fecal;treatment_start;ABX244;placebo;73.8;-7;4.84E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX245;ABX;34.19;-7;8.01E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX246;placebo;76.7;-7;2.35E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX247;ABX;84.96;-7;1.58E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX248;placebo;38.89;-7;2.32E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX249;ABX;94.78;-7;1.77E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX250;placebo;47.43;-7;9.77E+09;14;male
NOD;AG6-222;fecal;treatment_start;ABX251;ABX;42.98;-7;2.25E+10;14;male
NOD;AG6-222;fecal;treatment_start;ABX252;placebo;2.15;-7;1.14E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX253;ABX;99.11;-7;3.10E+11;14;male
NOD;AG6-222;fecal;treatment_start;ABX254;placebo;78.51;-7;4.07E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX255;ABX;50.33;-7;4.64E+07;14;male
NOD;AG6-222;fecal;treatment_start;ABX256;placebo;31.95;-7;1.55E+08;14;male
NOD;AG6-222;fecal;treatment_start;ABX257;ABX;84.09;-7;4.57E+07;14;female
NOD;AG6-222;fecal;treatment_start;ABX258;placebo;13.64;-7;1.50E+10;14;female
NOD;AG6-222;fecal;treatment_start;ABX259;ABX;83.37;-7;4.71E+09;14;female
NOD;AG6-222;fecal;treatment_start;ABX260;placebo;58.02;-7;4.91E+08;14;female
NOD;AG6-222;fecal;treatment_start;ABX261;ABX;45.56;-7;1.10E+07;14;female
NOD;AG6-222;fecal;treatment_start;ABX262;placebo;94.02;-7;4.70E+10;14;female
NOD;AG6-222;fecal;treatment_start;ABX263;ABX;98.81;-7;3.36E+10;14;female
NOD;AG6-222;fecal;treatment_start;ABX264;placebo;28.43;-7;1.31E+11;14;female
NOD;AG6-222;fecal;treatment_start;ABX265;ABX;66.58;-7;3.65E+11;14;female
NOD;AG6-222;fecal;treatment_start;ABX266;placebo;80.23;-7;2.27E+09;14;female
NOD;AG6-222;fecal;treatment_start;ABX267;ABX;6.89;-7;2.51E+07;14;female
NOD;AG6-222;fecal;treatment_start;ABX268;placebo;4.18;-7;1.78E+09;14;female
NOD;AG6-222;fecal;treatment_start;ABX269;ABX;44.91;-7;2.26E+10;14;female
NOD;AG6-222;fecal;treatment_start;ABX270;placebo;14.06;-7;1.44E+11;14;female
NOD;AG6-222;fecal;treatment_start;ABX271;ABX;38.78;-7;1.36E+08;14;female
NOD;AG6-222;fecal;treatment_start;ABX272;placebo;64.07;-7;3.72E+08;14;female
NOD;AG6-222;fecal;treatment_start;ABX273;ABX;73.85;-7;5.39E+08;14;female
NOD;AG6-222;fecal;treatment_start;ABX274;placebo;35.36;-7;7.54E+08;14;female
NOD;AG6-222;fecal;treatment_start;ABX275;ABX;18.1;-7;1.29E+07;14;female
NOD;AG6-222;fecal;treatment_start;ABX276;placebo;61.61;-7;4.48E+10;14;female
NOD;AG6-222;fecal;treatment_start;ABX277;ABX;73.82;-7;6.88E+09;14;female
NOD;AG6-222;fecal;treatment_start;ABX278;placebo;98.66;-7;4.20E+09;14;female
NOD;AG6-222;fecal;treatment_start;ABX279;ABX;79.87;-7;1.62E+07;14;female
NOD;AG6-222;fecal;treatment_start;ABX280;placebo;55.44;-7;9.74E+08;14;female
NOD;AG6-222;fecal;treatment_start;ABX281;ABX;7.48;-7;1.34E+10;14;female
NOD;AG6-222;fecal;treatment_start;ABX282;placebo;28.7;-7;9.31E+10;14;female
NOD;AG6-222;fecal;treatment_start;ABX283;ABX;75.97;-7;8.75E+10;14;female
NOD;AG6-222;fecal;treatment_start;ABX284;placebo;33.66;-7;2.15E+10;14;female
NOD;AG6-222;fecal;treatment_start;ABX285;ABX;57.0;-7;2.76E+11;14;female
NOD;AG6-222;fecal;treatment_start;ABX286;placebo;29.01;-7;4.47E+09;14;female
NOD;AG6-222;fecal;treatment_start;ABX287;ABX;25.09;-7;2.79E+10;14;female
NOD;AG6-222;fecal;treatment_start;ABX288;placebo;41.39;-7;2.91E+09;14;female
NOD;AG6-222;fecal;treatment_start;ABX289;ABX;29.27;-7;9.89E+08;14;female
NOD;AG6-222;fecal;treatment_start;ABX290;placebo;6.86;-7;4.44E+10;14;female
NOD;AG6-222;fecal;treatment_start;ABX291;ABX;42.83;-7;4.98E+07;14;female
NOD;AG6-222;fecal;treatment_start;ABX292;placebo;74.49;-7;6.37E+10;14;female
NOD;AG6-222;fecal;treatment_start;ABX293;ABX;83.13;-7;7.70E+10;14;female
NOD;AG6-222;fecal;treatment_start;ABX294;placebo;81.82;-7;2.09E+11;14;female
